integration_id,name,source_platform,source_object,destination_platform,destination_object,direction,mechanism,protocol_or_method,endpoint_or_url,trigger,business_purpose,data_read,data_written,fields_or_attributes,statuses_or_values,conditions_or_branching,frequency_or_usage,owner_or_team,last_modified_or_last_triggered,dependencies,failure_impact,retry_or_fallback,current_state,evidence,confidence
INT-001,"Shopify Order to Monday.com + Intercom - iCorrect","Shopify","orders/create","n8n Cloud -> Monday.com / Intercom / Slack","workflow fuVSFQvvJ1GRPkPe","Shopify -> n8n -> multiple systems","workflow","shopifyTrigger + httpRequest","Shopify trigger topic orders/create","Shopify order created","Create cross-system order/intake visibility","Shopify order payload","Intercom contact/ticket, Monday item on board 349212843 group new_group77101__1, Monday update, Slack notification","customer identity, service type, booking slot, turnaround, address, IMEI/SN, order total, Intercom link fields","orders/create; payment_status Confirmed; payment_method Shopify; source Website; status4 Awaiting Confirmation","duplicate branch stops duplicate processing; service and turnaround are derived from line items and properties","unknown","ecommerce / ops","workflow updated 2026-02-23","Shopify, n8n Cloud, Monday.com, Intercom, Slack","order could stay siloed in Shopify or be partially created if one branch fails","workflow contains duplicate stop and error Slack notification","active","Active workflow definition shows exact Monday board/group and Intercom/Slack steps","Observed"
INT-002,"Intercom -> Monday (Create Repair)","Intercom","conversation/contact context","n8n Cloud -> Monday.com","workflow kP5yCz6ufc23xE6v","Intercom -> n8n -> Monday","workflow","webhook + httpRequest","webhook path intercom-create-repair","Webhook call to create repair","Create Monday repair item from Intercom-side event","Intercom contact and conversation data","Monday item, Intercom note","contactId, conversationId, Monday item ID","unknown","contact/company branches may alter payload","unknown","customer service / ops","unknown","Intercom, n8n Cloud, Monday.com","repair may never enter ops workflow","unknown","active","Workflow definition shows Intercom fetch, Monday item creation, and Intercom note","Observed"
INT-003,"Typeform To Monday Pre-Repair Form Responses (v2)","Typeform","form sDieaFMs","n8n Cloud -> Monday.com / Intercom / Slack","workflow AubY0Rvhhvgp4GJ1","Typeform -> n8n -> multiple systems","workflow","typeformTrigger + httpRequest","Typeform form ID sDieaFMs","Typeform form submission","Validate and enrich pre-repair intake","Typeform response fields, hidden fields, Monday lookup data","Monday column updates, status/group movement, optional Intercom note, Slack alerts","monday_item_id, conversation_id, validation/status fields","form submission","branches for hidden fields, item found, valid group, already validated, needs moving, has conversation ID","unknown","intake / customer service / ops","unknown","Typeform, n8n Cloud, Monday.com, Intercom, Slack","intake data may remain unlinked or invalid","Slack alerts for missing/wrong/duplicate cases","active","Workflow definition shows Typeform trigger and Monday/Intercom/Slack actions","Observed"
INT-004,"Status Notifications -> Intercom Email","Monday.com or upstream webhook caller","status notification payload","n8n Cloud -> Intercom","workflow TDBSUDxpcW8e56y4","upstream -> n8n -> Intercom","workflow","webhook + httpRequest","webhook path status-notification","Status notification webhook received","Send customer-facing Intercom replies for status changes","notification payload, conversation/contact context","Intercom reply","notification type, conversation/contact fields, templates","booking confirmed, received walk-in, received remote, ready, return courier, password flows","route by notification type; branch for missing Intercom ID","unknown","customer service","unknown","upstream webhook caller, n8n Cloud, Intercom","customers miss operational updates","template routing plus no-ID handling","active","Workflow definition shows templates and Intercom reply node","Observed"
INT-005,"Monday Stock Checker - Part Required","Monday.com","part-required webhook payload","n8n Cloud -> Monday.com","workflow I5epbCTbRsafI4Fr","Monday -> n8n -> Monday","workflow","webhook + httpRequest","webhook path monday-stock-check","Monday webhook","Check stock and write back stock status/internal update","Monday item and part IDs, parts stock data","Monday stock status update, internal update","item IDs, part IDs, stock status fields","part required change / webhook event","challenge branch, no-parts branch, has-parts branch","unknown","operations / inventory","unknown","Monday.com, n8n Cloud, parts data","stock visibility may go stale","challenge handling and no-op branches present","active","Workflow definition shows Monday webhook plus stock lookup and update nodes","Observed"
INT-006,"Walk-In Typeform -> Intercom + Monday","Typeform","form LtNyVqVN","n8n Cloud -> Intercom / Monday.com / Slack","workflow kDfU2wWWv207T24J","Typeform -> n8n -> multiple systems","workflow","typeformTrigger + httpRequest","Typeform form ID LtNyVqVN","Walk-in form submission","Create or enrich walk-in records across support and ops","Typeform response","Intercom/Monday updates and Slack notifications","walk-in form fields","form submission","unknown","unknown","front desk / customer service / ops","unknown","Typeform, n8n Cloud, Intercom, Monday.com, Slack","walk-in lead/intake may stay fragmented","unknown","active","Active workflow definition shows Typeform trigger with Intercom, Monday, and Slack node types","Observed"
INT-007,"Xero Invoice Creator","upstream webhook caller","invoice creation payload","n8n Cloud -> Xero","workflow 9jD6J2X3yCPk8Rjp","upstream -> n8n -> Xero","workflow","webhook + httpRequest","webhook path xero-invoice-create","Webhook call to create invoice","Automate invoice creation in Xero","invoice payload","Xero invoice","invoice fields","unknown","if/code branches present; webhook challenge branch present","unknown","finance","unknown","n8n Cloud, Xero","invoice creation becomes manual or fails","responds 200 and challenge branches exist","active","Active workflow definition shows webhook path xero-invoice-create and Xero-oriented HTTP request flow","Observed"
INT-008,"Monday status24 Pay-Out -> bm-payout","Monday.com","Main Board status24","VPS bm-payout -> Back Market","service /webhook/bm/payout","Monday -> VPS -> BM","webhook service","Monday webhook + BM REST PUT","https://mc.icorrect.co.uk/webhook/bm/payout","status24 changes to Pay-Out on board 349212843","Validate and execute irreversible BM trade-in payout","Monday item state, BM trade-in ID, iCloud status","BM validate call, Monday status Purchased, Monday comment, Slack/Telegram notifications","status24, text_mky01vb4, color_mkyp4jjh","Pay-Out -> Purchased","stale-webhook check; block if BM ID missing or iCloud locked; retry once on 5xx only","unknown","BM trade-in ops","live code updated Mar 2026; exact last trigger unknown","Monday.com, Back Market API, Slack, Telegram","payout can fail or be sent without state clarity if path breaks","inflight dedup + 5xx single retry + no retry on 4xx","active","Live service code and ingress map confirm route and logic","Observed"
INT-009,"Monday status4 Shipped -> bm-shipping","Monday.com","Main Board status4","VPS bm-shipping -> Back Market","service /webhook/bm/shipping-confirmed","Monday -> VPS -> BM","webhook service","Monday webhook + BM REST POST","https://mc.icorrect.co.uk/webhook/bm/shipping-confirmed","status4 changes to Shipped on board 349212843","Notify BM sale shipment with tracking and serial","Monday tracking/serial/linkage data, BM order ID","BM shipment update, Monday comment, BM board move, Slack/Telegram notifications","status4, text53, text4, board_relation5, text_mkye7p1c","Shipped","hard-gate on missing tracking, serial, linked BM item, or BM order ID; retry once on 5xx only","unknown","BM sales/dispatch","live code updated Mar 2026; exact last trigger unknown","Monday.com, Back Market API, Slack, Telegram, BM Devices board","BM sale may remain unconfirmed externally","dedup via recent update marker + 5xx single retry","active","Live service code and ingress map confirm route and logic","Observed"
INT-010,"Monday serial entry -> icloud-checker","Monday.com","Main Board text4 serial field","VPS icloud-checker -> Monday / BM / Slack","service /webhook/icloud-check","Monday -> VPS -> multiple systems","webhook service","Monday webhook + SICKW + Apple spec lookup + BM REST","https://mc.icorrect.co.uk/webhook/icloud-check","serial entered on board 349212843","Check iCloud/spec state and branch into operational actions","serial, client type, BM trade-in ID, linked BM board specs","Monday updates/comments/status/group changes, BM suspend/message actions, Slack notifications","text4, status, text_mky01vb4, board_relation5, status8","serial entered / iCloud lock / spec mismatch paths","branches on client type BM, iCloud state, spec comparison, linked BM item existence","unknown","BM intake","unknown","Monday.com, SICKW, Apple spec lookup, Back Market API, Slack","intake validation and lock handling can fail or stay manual","6-hour cooldowns and recheck loop documented in SOPs/service docs","active","SOPs and live service code confirm trigger and endpoints","Observed"
